Year,Habitat,Month,Oligochaeta,Hirudinea,Turbellaria,Sphaeriidae,Planorbidae,Stagnicola,Physa,Valvata,Bithynia,Amnicola,Elimia,Gammarus faciatus,Isopoda,Orconectes,Ephemeroptera,Trichoptera,Chironomidae,Acari,Dreissena polymorpha, Dreissena bugensis,Echinogammarus ,Pulmonata,Prosobranchia
2014,Reef,Sep,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,29,8,0,24,10,0,0
2014,Reef,Sep,41,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,25,27,0,18,24,0,0
2014,Reef,Sep,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,25,9,0,14,20,0,0
2014,Reef,Sep,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,3,42,9,0,33,51,0,0
2014,Cobble,July,179,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,4,4,0,0,26,0,0
2014,Cobble,July,301,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,6,9,0,3,48,0,0
2014,Cobble,July,421,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,6,0,1,27,0,0
2014,Cobble,July,277,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,7,0,5,17,0,0
2014,Cobble,July,596,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26,30,0,5,21,0,0
2014,Reef,July,76,0,4,0,0,0,0,0,0,0,0,24,4,1,0,3,41,10,0,47,158,0,0
2014,Reef,July,109,0,9,0,0,0,0,0,0,0,0,5,0,1,0,1,38,2,0,49,93,0,0
2014,Reef,July,242,0,19,0,0,0,0,0,0,0,0,16,1,4,0,3,47,10,0,80,128,0,0
2014,Reef,July,305,0,13,0,0,0,0,0,0,0,0,13,2,3,0,1,44,26,0,73,275,0,0
2014,Reef,July,830,0,6,0,0,0,0,0,0,0,0,13,0,0,0,6,29,29,0,118,188,0,0
1999,Cobble,Sep,0,4,0,0,2,13,7,0,1,0,3,457,1,0,0,1,0,0,0,0,106,22,4
1999,Cobble,Sep,18,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,32,0,0
1999,Cobble,Sep,6,0,0,0,0,0,0,0,0,0,0,446,0,0,0,1,0,0,0,0,117,0,0
1999,Cobble,Sep,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,5,0,0
1999,Cobble,Sep,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,18,0,0
1999,Reef,Sep,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,144,0,0
1999,Reef,Sep,0,0,0,0,0,8,1,0,0,0,0,79,0,0,0,0,0,0,25,152,39,9,0
1999,Reef,Sep,0,0,0,0,0,17,0,0,0,0,0,170,0,0,0,0,0,0,31,819,293,17,0
1999,Reef,Sep,0,0,0,0,0,17,0,0,0,0,0,159,0,0,0,0,0,0,113,153,289,17,0
1999,Reef,Sep,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,101,0,0
1999,Cobble,July,0,0,0,0,4,188,92,0,0,5,0,32,0,0,0,0,0,0,17,389,0,284,5
1999,Cobble,July,0,5,0,0,0,67,10,0,0,11,0,88,0,1,0,0,0,0,25,374,19,77,11
1999,Cobble,July,0,0,0,0,1,223,226,0,0,27,8,79,0,1,0,0,0,0,41,574,0,450,35
1999,Cobble,July,0,8,0,0,0,129,52,0,0,8,5,48,0,0,0,0,0,0,10,176,0,181,13
1999,Cobble,July,2,0,0,0,1,119,51,0,0,7,3,43,0,0,0,0,0,0,31,200,0,171,10
1999,Reef,July,0,0,0,0,1,155,23,0,0,13,1,69,0,1,0,0,0,0,21,680,2,179,14
1999,Reef,July,0,0,0,0,0,60,23,0,0,3,0,2,0,0,0,0,0,0,29,123,0,83,3
1999,Reef,July,0,1,0,0,0,112,22,0,0,13,2,84,0,1,0,0,0,0,8,513,11,134,15
1999,Reef,July,0,1,0,0,0,124,181,0,0,31,2,168,0,0,0,0,0,0,150,281,6,305,33
1999,Reef,July,0,0,0,0,0,68,15,0,0,11,2,112,0,0,0,0,0,0,11,345,0,83,13
1983,Reef,July,0,0,0,0,0,2,0,0,1,0,27,111,0,0,0,0,4,0,0,0,0,2,27
1983,Reef,Sep,1,0,0,0,3,13,17,0,0,0,30,118,0,0,0,0,1,0,0,0,0,33,30
1983,Reef,Sep,0,0,1,0,1,5,42,0,0,2,20,233,0,0,0,0,0,0,0,0,0,48,22
1983,Reef,July,0,0,0,1,1,2,0,0,0,0,3,7,0,0,1,0,5,0,0,0,0,3,3
1983,Reef,July,0,0,2,1,0,0,0,0,0,0,11,29,0,0,0,0,3,0,0,0,0,0,11
1983,Reef,July,0,0,1,0,1,0,0,0,2,0,4,15,0,0,2,0,1,0,0,0,0,1,6
1983,Reef,July,2,0,1,0,0,0,0,0,0,0,16,28,0,0,3,0,0,0,0,0,0,0,17
1983,Reef,Sep,0,0,1,0,0,3,15,0,0,0,14,111,0,0,1,0,0,0,0,0,0,18,14
1983,Reef,Sep,0,0,1,0,0,12,10,0,0,0,30,255,0,0,0,1,0,0,0,0,0,22,30
1983,Reef,Sep,0,0,0,0,1,6,8,0,1,0,65,63,0,0,2,1,0,0,0,0,0,15,65
1983,Cobble,July,8,0,2,8,1,0,0,0,0,0,7,14,0,0,1,1,2,0,0,0,0,1,7
1983,Cobble,July,4,0,0,8,0,1,0,0,0,0,13,14,0,0,0,0,1,0,0,0,0,2,13
1983,Cobble,July,2,0,3,5,0,1,0,0,1,1,14,14,0,0,3,0,4,0,0,0,0,2,15
1983,Cobble,July,34,0,2,5,0,0,0,0,0,0,10,49,0,0,1,5,4,0,0,0,0,0,10
1983,Cobble,July,6,0,3,7,0,36,0,0,0,0,17,109,0,1,0,2,12,0,0,0,0,36,17
1983,Cobble,Sep,2,0,2,7,0,19,5,0,0,0,13,48,0,1,0,0,2,0,0,0,0,24,13
1983,Cobble,Sep,2,0,10,14,1,1,7,0,0,0,13,42,0,0,0,0,0,0,0,0,0,9,13
1983,Cobble,Sep,4,0,2,10,1,1,1,0,0,0,4,59,0,0,1,2,1,0,0,0,0,3,4
1983,Cobble,Sep,3,0,2,6,0,3,1,0,0,1,17,38,0,0,2,4,0,0,0,0,0,5,18
1983,Cobble,Sep,4,0,4,6,0,6,2,0,0,0,26,46,0,0,3,4,0,0,0,0,0,8,26
